ID;origin;destination;nb_passengers;release_time;ready_time;due_time;legs
00003877119BEEE78B8208513CAB67A4EA7D4B75_0;41288;41302;1;56390;56690;57414;[(41288, 41302, 2792136)]
0000454F7D00DADE07BCADFF63793979576CF064_1;43183;42711;1;25985;26285;27610;[(43183, 42711, 2792683)]
00023D332040EF2AC1B30FA4E34201E455CCF357_2;41964;43507;1;37865;38165;39222;[(41964, 41941, 2791789), (41941, 43507, 2792351)]
00023D332040EF2AC1B30FA4E34201E455CCF357_3;48050;45030;1;63801;64101;65074;[(48050, 45030, 2791545)]
00039BFA9A4E232BE84B8AE69393F2874C49DA7C_4;42720;46423;1;61040;61340;62942;[(42720, 46423, 2792264)]
00059A11D2E25873E735C847129013BDA9203532_5;41809;41839;1;62299;62599;63614;[(41809, 41839, 2794118)]
000D95CEEE7D8F972DA1D527F6C19F8FA95C1D07_6;46052;46546;1;27727;28027;31482;[(46052, 46057, 2792977), (42852, 41801, 2794660), (41341, 46546, 2790571)]
000F38BBC78E85F997A07AE7089B058C81D6B6B6_7;43506;46198;1;51860;52160;54270;[(43506, 46198, 2790330)]
0010A1243626509979734A180486783F5D61B25D_8;41565;41447;1;29591;29891;30690;[(41565, 41447, 2790105)]
0010A1243626509979734A180486783F5D61B25D_9;41555;41468;1;49877;50177;51020;[(41555, 41468, 2791470)]
0010FA48C564239A6F56EF49A3F4F4FEC909A117_10;47031;41813;1;33344;33644;34774;[(47031, 41813, 2790978)]
0010FA48C564239A6F56EF49A3F4F4FEC909A117_11;41816;46423;1;59287;59587;60562;[(41816, 46423, 2790257)]
0015D39951DD3520328E414AF348CB919FBF53D4_12;41431;43109;1;49065;49365;51294;[(41431, 46603, 2790351), (43134, 43109, 2792965)]
002040A6677A944F1A30AEF216DC93EA23398583_13;41616;48150;1;39347;39647;41882;[(41616, 48150, 2792688)]
0021C228437D2AF71AD127648050E8D5DD31E1CA_14;42773;46470;1;25659;25959;28126;[(42773, 46470, 2790751)]
0024C7CBF1282C21AEEDAD79915A6E3B193ABFA8_15;41803;46423;1;25748;26048;26854;[(41803, 46423, 2790238)]
