trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
1,16:00:00,16:00:00,1,1,0,0
1,16:05:00,16:05:00,2,2,0,0
1,16:10:00,16:10:00,3,3,0,0
1,16:15:00,16:15:00,4,4,0,0
1,16:20:00,16:20:00,5,5,0,0
1,16:25:00,16:25:00,6,6,1,0
2,16:10:00,16:10:00,1,1,0,0
2,16:15:00,16:15:00,7,2,0,0
2,16:20:00,16:20:00,8,3,0,0
2,16:25:00,16:25:00,9,4,0,0
2,16:30:00,16:30:00,10,5,1,0
3,16:05:00,16:05:00,1,1,0,0
3,16:10:00,16:10:00,10,2,0,0
3,16:15:00,16:15:00,4,3,0,0
3,16:20:00,16:20:00,5,4,0,0
3,16:25:00,16:25:00,6,5,1,0
4,17:00:00,17:00:00,1,1,0,0
4,17:05:00,17:05:00,5,2,0,0
4,17:10:00,17:10:00,7,3,0,0
4,17:15:00,17:15:00,8,4,0,0
4,17:20:00,17:20:00,9,5,1,0
