ID,Time,Status,Assigned vehicle,Current location,Previous legs,Current leg,Next legs,duration
1,1970-01-01 10:50:00,PassengersStatus.RELEASE,None,1,[],"('1', '3')","[('3', '7')]",0 days 00:00:00
1,1970-01-01 10:50:00,PassengersStatus.ASSIGNED,1,1,[],"('1', '3')","[('3', '7')]",0 days 00:05:00
3,1970-01-01 10:55:00,PassengersStatus.RELEASE,None,1,[],"('1', '3')","[('3', '7'), ('7', '10')]",0 days 00:00:00
4,1970-01-01 10:55:00,PassengersStatus.RELEASE,None,1,[],"('1', '6')",[],0 days 00:00:00
1,1970-01-01 10:55:00,PassengersStatus.READY,1,1,[],"('1', '3')","[('3', '7')]",0 days 00:05:00
2,1970-01-01 10:55:00,PassengersStatus.RELEASE,None,1,[],"('1', '3')","[('3', '9')]",0 days 00:00:00
3,1970-01-01 10:55:00,PassengersStatus.ASSIGNED,1,1,[],"('1', '3')","[('3', '7'), ('7', '10')]",0 days 00:05:00
4,1970-01-01 10:55:00,PassengersStatus.ASSIGNED,1,1,[],"('1', '6')",[],0 days 00:05:00
2,1970-01-01 10:55:00,PassengersStatus.ASSIGNED,1,1,[],"('1', '3')","[('3', '9')]",0 days 00:05:00
3,1970-01-01 11:00:00,PassengersStatus.READY,1,1,[],"('1', '3')","[('3', '7'), ('7', '10')]",0 days 00:00:00
2,1970-01-01 11:00:00,PassengersStatus.READY,1,1,[],"('1', '3')","[('3', '9')]",0 days 00:00:00
4,1970-01-01 11:00:00,PassengersStatus.READY,1,1,[],"('1', '6')",[],0 days 00:00:00
1,1970-01-01 11:00:00,PassengersStatus.ONBOARD,1,None,[],"('1', '3')","[('3', '7')]",0 days 00:10:00
3,1970-01-01 11:00:00,PassengersStatus.ONBOARD,1,None,[],"('1', '3')","[('3', '7'), ('7', '10')]",0 days 00:10:00
4,1970-01-01 11:00:00,PassengersStatus.ONBOARD,1,None,[],"('1', '6')",[],0 days 00:25:00
2,1970-01-01 11:00:00,PassengersStatus.ONBOARD,1,None,[],"('1', '3')","[('3', '9')]",0 days 00:10:00
1,1970-01-01 11:10:00,PassengersStatus.RELEASE,None,3,"[('1', '3')]","('3', '7')",[],0 days 00:00:00
3,1970-01-01 11:10:00,PassengersStatus.RELEASE,None,3,"[('1', '3')]","('3', '7')","[('7', '10')]",0 days 00:00:00
2,1970-01-01 11:10:00,PassengersStatus.RELEASE,None,3,"[('1', '3')]","('3', '9')",[],0 days 00:00:00
1,1970-01-01 11:10:00,PassengersStatus.ASSIGNED,2,3,"[('1', '3')]","('3', '7')",[],0 days 00:00:00
3,1970-01-01 11:10:00,PassengersStatus.ASSIGNED,2,3,"[('1', '3')]","('3', '7')","[('7', '10')]",0 days 00:00:00
1,1970-01-01 11:10:00,PassengersStatus.READY,2,3,"[('1', '3')]","('3', '7')",[],0 days 00:05:00
3,1970-01-01 11:10:00,PassengersStatus.READY,2,3,"[('1', '3')]","('3', '7')","[('7', '10')]",0 days 00:05:00
2,1970-01-01 11:10:00,PassengersStatus.ASSIGNED,2,3,"[('1', '3')]","('3', '9')",[],0 days 00:00:00
2,1970-01-01 11:10:00,PassengersStatus.READY,2,3,"[('1', '3')]","('3', '9')",[],0 days 00:05:00
3,1970-01-01 11:15:00,PassengersStatus.ONBOARD,2,None,"[('1', '3')]","('3', '7')","[('7', '10')]",0 days 00:05:00
2,1970-01-01 11:15:00,PassengersStatus.ONBOARD,2,None,"[('1', '3')]","('3', '9')",[],0 days 00:20:00
1,1970-01-01 11:15:00,PassengersStatus.ONBOARD,2,None,"[('1', '3')]","('3', '7')",[],0 days 00:05:00
1,1970-01-01 11:20:00,PassengersStatus.COMPLETE,2,7,"[('1', '3')]","('3', '7')",[],
3,1970-01-01 11:20:00,PassengersStatus.RELEASE,None,7,"[('1', '3'), ('3', '7')]","('7', '10')",[],0 days 00:00:00
3,1970-01-01 11:20:00,PassengersStatus.ASSIGNED,3,7,"[('1', '3'), ('3', '7')]","('7', '10')",[],0 days 00:00:00
3,1970-01-01 11:20:00,PassengersStatus.READY,3,7,"[('1', '3'), ('3', '7')]","('7', '10')",[],0 days 00:15:00
5,1970-01-01 11:24:50,PassengersStatus.RELEASE,None,8,[],"('8', '9')","[('9', '11')]",0 days 00:00:00
5,1970-01-01 11:24:50,PassengersStatus.ASSIGNED,2,8,[],"('8', '9')","[('9', '11')]",0 days 00:00:10
5,1970-01-01 11:25:00,PassengersStatus.READY,2,8,[],"('8', '9')","[('9', '11')]",0 days 00:00:00
4,1970-01-01 11:25:00,PassengersStatus.COMPLETE,1,6,[],"('1', '6')",[],
5,1970-01-01 11:25:00,PassengersStatus.ONBOARD,2,None,[],"('8', '9')","[('9', '11')]",0 days 00:10:00
2,1970-01-01 11:35:00,PassengersStatus.COMPLETE,2,9,"[('1', '3')]","('3', '9')",[],
5,1970-01-01 11:35:00,PassengersStatus.RELEASE,None,9,"[('8', '9')]","('9', '11')",[],0 days 00:00:00
3,1970-01-01 11:35:00,PassengersStatus.ONBOARD,3,None,"[('1', '3'), ('3', '7')]","('7', '10')",[],0 days 00:10:00
5,1970-01-01 11:35:00,PassengersStatus.ASSIGNED,3,9,"[('8', '9')]","('9', '11')",[],0 days 00:00:00
