ID,Time,Status,Previous stops,Current stop,Next stops,Assigned legs,Onboard legs,Alighted legs,Cumulative distance,Longitude,Latitude,duration
1,1970-01-01 10:45:00,VehicleStatus.RELEASE,[],1,"['2', '3', '4', '5', '6', '7']",[],[],[],0.0,-73.667207,45.555819,0 days 00:00:00
1,1970-01-01 10:45:00,VehicleStatus.IDLE,[],1,"['2', '3', '4', '5', '6', '7']",[],[],[],0.0,-73.667207,45.555819,0 days 00:15:00
2,1970-01-01 11:00:00,VehicleStatus.RELEASE,[],3,"['7', '8', '9', '11']",[],[],[],0.0,-73.667209,45.555821,0 days 00:00:00
2,1970-01-01 11:00:00,VehicleStatus.IDLE,[],3,"['7', '8', '9', '11']",[],[],[],0.0,-73.667209,45.555821,0 days 00:15:00
1,1970-01-01 11:00:00,VehicleStatus.IDLE,[],1,"['2', '3', '4', '5', '6', '7']","['1_1', '3_1', '4_1', '2_1']",[],[],0.0,-73.667207,45.555819,0 days 00:00:00
1,1970-01-01 11:00:00,VehicleStatus.BOARDING,[],1,"['2', '3', '4', '5', '6', '7']","['1_1', '3_1', '4_1', '2_1']",[],[],0.0,-73.667207,45.555819,0 days 00:00:00
1,1970-01-01 11:00:00,VehicleStatus.IDLE,[],1,"['2', '3', '4', '5', '6', '7']",[],"['1_1', '3_1', '4_1', '2_1']",[],0.0,-73.667207,45.555819,0 days 00:00:00
1,1970-01-01 11:00:00,VehicleStatus.ENROUTE,['1'],None,"['2', '3', '4', '5', '6', '7']",[],"['1_1', '3_1', '4_1', '2_1']",[],,,,0 days 00:05:00
1,1970-01-01 11:05:00,VehicleStatus.ALIGHTING,['1'],2,"['3', '4', '5', '6', '7']",[],"['1_1', '3_1', '4_1', '2_1']",[],0.2,-73.667208,45.55582,0 days 00:00:00
1,1970-01-01 11:05:00,VehicleStatus.IDLE,['1'],2,"['3', '4', '5', '6', '7']",[],"['1_1', '3_1', '4_1', '2_1']",[],0.2,-73.667208,45.55582,0 days 00:00:00
1,1970-01-01 11:05:00,VehicleStatus.ENROUTE,"['1', '2']",None,"['3', '4', '5', '6', '7']",[],"['1_1', '3_1', '4_1', '2_1']",[],,,,0 days 00:05:00
1,1970-01-01 11:10:00,VehicleStatus.ALIGHTING,"['1', '2']",3,"['4', '5', '6', '7']",[],"['1_1', '3_1', '4_1', '2_1']",[],0.4,-73.667209,45.555821,0 days 00:00:00
1,1970-01-01 11:10:00,VehicleStatus.IDLE,"['1', '2']",3,"['4', '5', '6', '7']",[],['4_1'],"['1_1', '3_1', '2_1']",0.4,-73.667209,45.555821,0 days 00:00:00
1,1970-01-01 11:10:00,VehicleStatus.ENROUTE,"['1', '2', '3']",None,"['4', '5', '6', '7']",[],['4_1'],"['1_1', '3_1', '2_1']",,,,0 days 00:05:00
1,1970-01-01 11:15:00,VehicleStatus.ALIGHTING,"['1', '2', '3']",4,"['5', '6', '7']",[],['4_1'],"['1_1', '3_1', '2_1']",0.5,-73.667209,45.555822,0 days 00:00:00
