ID,Time,Status,Previous stops,Current stop,Next stops,Assigned legs,Onboard legs,Alighted legs,Cumulative distance,Longitude,Latitude,duration
0,1970-01-01 03:03:20.000,VehicleStatus.RELEASE,[],"(361252.4167013285,6699278.7572178)",[],[],[],[],,361252.4167013285,6699278.7572178,0 days 00:00:00
0,1970-01-01 03:03:20.000,VehicleStatus.IDLE,[],"(361252.4167013285,6699278.7572178)",[],[],[],[],,361252.4167013285,6699278.7572178,0 days 00:15:53
10,1970-01-01 03:03:20.100,VehicleStatus.RELEASE,[],"(361252.4167013285,6699278.7572178)",[],[],[],[],,361252.4167013285,6699278.7572178,0 days 00:00:00
1,1970-01-01 03:03:20.100,VehicleStatus.RELEASE,[],"(361252.4167013285,6699278.7572178)",[],[],[],[],,361252.4167013285,6699278.7572178,0 days 00:00:00
10,1970-01-01 03:03:20.100,VehicleStatus.IDLE,[],"(361252.4167013285,6699278.7572178)",[],[],[],[],,361252.4167013285,6699278.7572178,0 days 00:54:39.900000
1,1970-01-01 03:03:20.100,VehicleStatus.IDLE,[],"(361252.4167013285,6699278.7572178)",[],[],[],[],,361252.4167013285,6699278.7572178,0 days 01:16:47.900000
11,1970-01-01 03:03:20.110,VehicleStatus.RELEASE,[],"(361252.4167013285,6699278.7572178)",[],[],[],[],,361252.4167013285,6699278.7572178,0 days 00:00:00
11,1970-01-01 03:03:20.110,VehicleStatus.IDLE,[],"(361252.4167013285,6699278.7572178)",[],[],[],[],,361252.4167013285,6699278.7572178,0 days 01:29:56.890000
12,1970-01-01 03:03:20.120,VehicleStatus.RELEASE,[],"(361252.4167013285,6699278.7572178)",[],[],[],[],,361252.4167013285,6699278.7572178,0 days 00:00:00
12,1970-01-01 03:03:20.120,VehicleStatus.IDLE,[],"(361252.4167013285,6699278.7572178)",[],[],[],[],,361252.4167013285,6699278.7572178,0 days 01:50:54.880000
13,1970-01-01 03:03:20.130,VehicleStatus.RELEASE,[],"(361252.4167013285,6699278.7572178)",[],[],[],[],,361252.4167013285,6699278.7572178,0 days 00:00:00
13,1970-01-01 03:03:20.130,VehicleStatus.IDLE,[],"(361252.4167013285,6699278.7572178)",[],[],[],[],,361252.4167013285,6699278.7572178,0 days 02:51:45.870000
14,1970-01-01 03:03:20.140,VehicleStatus.RELEASE,[],"(361252.4167013285,6699278.7572178)",[],[],[],[],,361252.4167013285,6699278.7572178,0 days 00:00:00
14,1970-01-01 03:03:20.140,VehicleStatus.IDLE,[],"(361252.4167013285,6699278.7572178)",[],[],[],[],,361252.4167013285,6699278.7572178,0 days 03:28:59.860000
15,1970-01-01 03:03:20.150,VehicleStatus.RELEASE,[],"(361252.4167013285,6699278.7572178)",[],[],[],[],,361252.4167013285,6699278.7572178,0 days 00:00:00
15,1970-01-01 03:03:20.150,VehicleStatus.IDLE,[],"(361252.4167013285,6699278.7572178)",[],[],[],[],,361252.4167013285,6699278.7572178,0 days 03:38:56.850000
16,1970-01-01 03:03:20.160,VehicleStatus.RELEASE,[],"(361252.4167013285,6699278.7572178)",[],[],[],[],,361252.4167013285,6699278.7572178,0 days 00:00:00
16,1970-01-01 03:03:20.160,VehicleStatus.IDLE,[],"(361252.4167013285,6699278.7572178)",[],[],[],[],,361252.4167013285,6699278.7572178,0 days 03:57:05.840000
17,1970-01-01 03:03:20.170,VehicleStatus.RELEASE,[],"(361252.4167013285,6699278.7572178)",[],[],[],[],,361252.4167013285,6699278.7572178,0 days 00:00:00
17,1970-01-01 03:03:20.170,VehicleStatus.IDLE,[],"(361252.4167013285,6699278.7572178)",[],[],[],[],,361252.4167013285,6699278.7572178,0 days 04:40:15.830000
18,1970-01-01 03:03:20.180,VehicleStatus.RELEASE,[],"(361252.4167013285,6699278.7572178)",[],[],[],[],,361252.4167013285,6699278.7572178,0 days 00:00:00
18,1970-01-01 03:03:20.180,VehicleStatus.IDLE,[],"(361252.4167013285,6699278.7572178)",[],[],[],[],,361252.4167013285,6699278.7572178,0 days 05:22:36.820000
19,1970-01-01 03:03:20.190,VehicleStatus.RELEASE,[],"(361252.4167013285,6699278.7572178)",[],[],[],[],,361252.4167013285,6699278.7572178,0 days 00:00:00
19,1970-01-01 03:03:20.190,VehicleStatus.IDLE,[],"(361252.4167013285,6699278.7572178)",[],[],[],[],,361252.4167013285,6699278.7572178,0 days 06:46:38.810000
2,1970-01-01 03:03:20.200,VehicleStatus.RELEASE,[],"(361252.4167013285,6699278.7572178)",[],[],[],[],,361252.4167013285,6699278.7572178,0 days 00:00:00
2,1970-01-01 03:03:20.200,VehicleStatus.IDLE,[],"(361252.4167013285,6699278.7572178)",[],[],[],[],,361252.4167013285,6699278.7572178,0 days 09:28:17.800000
3,1970-01-01 03:03:20.300,VehicleStatus.RELEASE,[],"(361252.4167013285,6699278.7572178)",[],[],[],[],,361252.4167013285,6699278.7572178,0 days 00:00:00
3,1970-01-01 03:03:20.300,VehicleStatus.IDLE,[],"(361252.4167013285,6699278.7572178)",[],[],[],[],,361252.4167013285,6699278.7572178,0 days 10:10:47.700000
4,1970-01-01 03:03:20.400,VehicleStatus.RELEASE,[],"(361252.4167013285,6699278.7572178)",[],[],[],[],,361252.4167013285,6699278.7572178,0 days 00:00:00
4,1970-01-01 03:03:20.400,VehicleStatus.IDLE,[],"(361252.4167013285,6699278.7572178)",[],[],[],[],,361252.4167013285,6699278.7572178,0 days 10:12:54.600000
5,1970-01-01 03:03:20.500,VehicleStatus.RELEASE,[],"(361252.4167013285,6699278.7572178)",[],[],[],[],,361252.4167013285,6699278.7572178,0 days 00:00:00
5,1970-01-01 03:03:20.500,VehicleStatus.IDLE,[],"(361252.4167013285,6699278.7572178)",[],[],[],[],,361252.4167013285,6699278.7572178,0 days 10:15:26.500000
6,1970-01-01 03:03:20.600,VehicleStatus.RELEASE,[],"(361252.4167013285,6699278.7572178)",[],[],[],[],,361252.4167013285,6699278.7572178,0 days 00:00:00
6,1970-01-01 03:03:20.600,VehicleStatus.IDLE,[],"(361252.4167013285,6699278.7572178)",[],[],[],[],,361252.4167013285,6699278.7572178,0 days 14:22:13.400000
7,1970-01-01 03:03:20.700,VehicleStatus.RELEASE,[],"(361252.4167013285,6699278.7572178)",[],[],[],[],,361252.4167013285,6699278.7572178,0 days 00:00:00
7,1970-01-01 03:03:20.700,VehicleStatus.IDLE,[],"(361252.4167013285,6699278.7572178)",[],[],[],[],,361252.4167013285,6699278.7572178,
8,1970-01-01 03:03:20.800,VehicleStatus.RELEASE,[],"(361252.4167013285,6699278.7572178)",[],[],[],[],,361252.4167013285,6699278.7572178,0 days 00:00:00
8,1970-01-01 03:03:20.800,VehicleStatus.IDLE,[],"(361252.4167013285,6699278.7572178)",[],[],[],[],,361252.4167013285,6699278.7572178,
9,1970-01-01 03:03:20.900,VehicleStatus.RELEASE,[],"(361252.4167013285,6699278.7572178)",[],[],[],[],,361252.4167013285,6699278.7572178,0 days 00:00:00
9,1970-01-01 03:03:20.900,VehicleStatus.IDLE,[],"(361252.4167013285,6699278.7572178)",[],[],[],[],,361252.4167013285,6699278.7572178,
0,1970-01-01 03:19:13.000,VehicleStatus.IDLE,[],"(361252.4167013285,6699278.7572178)","['(361424.4925437287,6699022.396100158)']",[5],[],[],,361252.4167013285,6699278.7572178,0 days 00:00:00
0,1970-01-01 03:19:13.000,VehicleStatus.BOARDING,[],"(361252.4167013285,6699278.7572178)","['(361424.4925437287,6699022.396100158)']",[5],[],[],,361252.4167013285,6699278.7572178,0 days 00:00:00
0,1970-01-01 03:19:13.000,VehicleStatus.IDLE,[],"(361252.4167013285,6699278.7572178)","['(361424.4925437287,6699022.396100158)']",[],[5],[],,361252.4167013285,6699278.7572178,0 days 00:00:00
0,1970-01-01 03:19:13.000,VehicleStatus.ENROUTE,"['(361252.4167013285,6699278.7572178)']",None,"['(361424.4925437287,6699022.396100158)']",[],[5],[],,,,0 days 00:07:40.300000
0,1970-01-01 03:26:53.300,VehicleStatus.ALIGHTING,"['(361252.4167013285,6699278.7572178)']","(361424.4925437287,6699022.396100158)",[],[],[5],[],,361424.4925437287,6699022.396100158,0 days 00:00:00
0,1970-01-01 03:26:53.300,VehicleStatus.IDLE,"['(361252.4167013285,6699278.7572178)']","(361424.4925437287,6699022.396100158)",[],[],[],[5],,361424.4925437287,6699022.396100158,
10,1970-01-01 03:58:00.000,VehicleStatus.IDLE,[],"(361252.4167013285,6699278.7572178)","['(360907.3610987468,6698435.935810202)', '(361109.2742714606,6698687.684381334)', '(361252.4167013285,6699278.7572178)']",[6],[],[],,361252.4167013285,6699278.7572178,0 days 00:00:00
10,1970-01-01 03:58:00.000,VehicleStatus.ENROUTE,"['(361252.4167013285,6699278.7572178)']",None,"['(360907.3610987468,6698435.935810202)', '(361109.2742714606,6698687.684381334)', '(361252.4167013285,6699278.7572178)']",[6],[],[],,,,0 days 00:19:52.300000
10,1970-01-01 04:17:52.300,VehicleStatus.ALIGHTING,"['(361252.4167013285,6699278.7572178)']","(360907.3610987468,6698435.935810202)","['(361109.2742714606,6698687.684381334)', '(361252.4167013285,6699278.7572178)']",[6],[],[],,360907.3610987468,6698435.935810202,0 days 00:00:00
10,1970-01-01 04:17:52.300,VehicleStatus.IDLE,"['(361252.4167013285,6699278.7572178)']","(360907.3610987468,6698435.935810202)","['(361109.2742714606,6698687.684381334)', '(361252.4167013285,6699278.7572178)']",[6],[],[],,360907.3610987468,6698435.935810202,0 days 00:00:00
10,1970-01-01 04:17:52.300,VehicleStatus.BOARDING,"['(361252.4167013285,6699278.7572178)']","(360907.3610987468,6698435.935810202)","['(361109.2742714606,6698687.684381334)', '(361252.4167013285,6699278.7572178)']",[6],[],[],,360907.3610987468,6698435.935810202,0 days 00:00:00
10,1970-01-01 04:17:52.300,VehicleStatus.IDLE,"['(361252.4167013285,6699278.7572178)']","(360907.3610987468,6698435.935810202)","['(361109.2742714606,6698687.684381334)', '(361252.4167013285,6699278.7572178)']",[],[6],[],,360907.3610987468,6698435.935810202,0 days 00:00:10
10,1970-01-01 04:18:02.300,VehicleStatus.IDLE,"['(361252.4167013285,6699278.7572178)']","(360907.3610987468,6698435.935810202)","['(361109.2742714606,6698687.684381334)', '(361252.4167013285,6699278.7572178)']",[],[6],[],,360907.3610987468,6698435.935810202,0 days 00:00:00
10,1970-01-01 04:18:02.300,VehicleStatus.ENROUTE,"['(361252.4167013285,6699278.7572178)', '(360907.3610987468,6698435.935810202)']",None,"['(361109.2742714606,6698687.684381334)', '(361252.4167013285,6699278.7572178)']",[],[6],[],,,,0 days 00:05:42.900000
1,1970-01-01 04:20:08.000,VehicleStatus.IDLE,[],"(361252.4167013285,6699278.7572178)","['(361430.0232549741,6698569.444267439)']",[8],[],[],,361252.4167013285,6699278.7572178,0 days 00:00:00
1,1970-01-01 04:20:08.000,VehicleStatus.BOARDING,[],"(361252.4167013285,6699278.7572178)","['(361430.0232549741,6698569.444267439)']",[8],[],[],,361252.4167013285,6699278.7572178,0 days 00:00:00
1,1970-01-01 04:20:08.000,VehicleStatus.IDLE,[],"(361252.4167013285,6699278.7572178)","['(361430.0232549741,6698569.444267439)']",[],[8],[],,361252.4167013285,6699278.7572178,0 days 00:00:00
1,1970-01-01 04:20:08.000,VehicleStatus.ENROUTE,"['(361252.4167013285,6699278.7572178)']",None,"['(361430.0232549741,6698569.444267439)']",[],[8],[],,,,0 days 00:18:49.700000
10,1970-01-01 04:23:45.200,VehicleStatus.ALIGHTING,"['(361252.4167013285,6699278.7572178)', '(360907.3610987468,6698435.935810202)']","(361109.2742714606,6698687.684381334)","['(361252.4167013285,6699278.7572178)']",[],[6],[],,361109.2742714606,6698687.684381334,0 days 00:00:00
10,1970-01-01 04:23:45.200,VehicleStatus.IDLE,"['(361252.4167013285,6699278.7572178)', '(360907.3610987468,6698435.935810202)']","(361109.2742714606,6698687.684381334)","['(361252.4167013285,6699278.7572178)']",[],[6],[],,361109.2742714606,6698687.684381334,0 days 00:00:10
10,1970-01-01 04:23:55.200,VehicleStatus.IDLE,"['(361252.4167013285,6699278.7572178)', '(360907.3610987468,6698435.935810202)']","(361109.2742714606,6698687.684381334)","['(361252.4167013285,6699278.7572178)']",[],[6],[],,361109.2742714606,6698687.684381334,0 days 00:00:00
10,1970-01-01 04:23:55.200,VehicleStatus.ENROUTE,"['(361252.4167013285,6699278.7572178)', '(360907.3610987468,6698435.935810202)', '(361109.2742714606,6698687.684381334)']",None,"['(361252.4167013285,6699278.7572178)']",[],[6],[],,,,0 days 00:15:03.300000
11,1970-01-01 04:33:17.000,VehicleStatus.IDLE,[],"(361252.4167013285,6699278.7572178)","['(361430.0232549741,6698569.444267439)', '(361252.4167013285,6699278.7572178)']",[9],[],[],,361252.4167013285,6699278.7572178,0 days 00:00:00
11,1970-01-01 04:33:17.000,VehicleStatus.ENROUTE,"['(361252.4167013285,6699278.7572178)']",None,"['(361430.0232549741,6698569.444267439)', '(361252.4167013285,6699278.7572178)']",[9],[],[],,,,0 days 00:18:49.700000
1,1970-01-01 04:38:57.700,VehicleStatus.ALIGHTING,"['(361252.4167013285,6699278.7572178)']","(361430.0232549741,6698569.444267439)",[],[],[8],[],,361430.0232549741,6698569.444267439,0 days 00:00:00
1,1970-01-01 04:38:57.700,VehicleStatus.IDLE,"['(361252.4167013285,6699278.7572178)']","(361430.0232549741,6698569.444267439)",[],[],[],[8],,361430.0232549741,6698569.444267439,
10,1970-01-01 04:38:58.500,VehicleStatus.ALIGHTING,"['(361252.4167013285,6699278.7572178)', '(360907.3610987468,6698435.935810202)', '(361109.2742714606,6698687.684381334)']","(361252.4167013285,6699278.7572178)",[],[],[6],[],,361252.4167013285,6699278.7572178,0 days 00:00:00
10,1970-01-01 04:38:58.500,VehicleStatus.IDLE,"['(361252.4167013285,6699278.7572178)', '(360907.3610987468,6698435.935810202)', '(361109.2742714606,6698687.684381334)']","(361252.4167013285,6699278.7572178)",[],[],[],[6],,361252.4167013285,6699278.7572178,
11,1970-01-01 04:52:06.700,VehicleStatus.ALIGHTING,"['(361252.4167013285,6699278.7572178)']","(361430.0232549741,6698569.444267439)","['(361252.4167013285,6699278.7572178)']",[9],[],[],,361430.0232549741,6698569.444267439,0 days 00:00:00
11,1970-01-01 04:52:06.700,VehicleStatus.IDLE,"['(361252.4167013285,6699278.7572178)']","(361430.0232549741,6698569.444267439)","['(361252.4167013285,6699278.7572178)']",[9],[],[],,361430.0232549741,6698569.444267439,0 days 00:00:00
