ID,Time,Status,Assigned vehicle,Current location,Previous legs,Current leg,Next legs,duration
5,1970-01-01 03:19:13.000,PassengersStatus.RELEASE,None,"(361252.4167013285,6699278.7572178)",[],"('(361252.4167013285,6699278.7572178)', '(361424.4925437287,6699022.396100158)')",[],0 days 00:00:00
5,1970-01-01 03:19:13.000,PassengersStatus.ASSIGNED,0,"(361252.4167013285,6699278.7572178)",[],"('(361252.4167013285,6699278.7572178)', '(361424.4925437287,6699022.396100158)')",[],0 days 00:00:00
5,1970-01-01 03:19:13.000,PassengersStatus.READY,0,"(361252.4167013285,6699278.7572178)",[],"('(361252.4167013285,6699278.7572178)', '(361424.4925437287,6699022.396100158)')",[],0 days 00:00:00
5,1970-01-01 03:19:13.000,PassengersStatus.ONBOARD,0,None,[],"('(361252.4167013285,6699278.7572178)', '(361424.4925437287,6699022.396100158)')",[],0 days 00:07:40.300000
5,1970-01-01 03:26:53.300,PassengersStatus.COMPLETE,0,"(361424.4925437287,6699022.396100158)",[],"('(361252.4167013285,6699278.7572178)', '(361424.4925437287,6699022.396100158)')",[],
6,1970-01-01 03:58:00.000,PassengersStatus.RELEASE,None,"(360907.3610987468,6698435.935810202)",[],"('(360907.3610987468,6698435.935810202)', '(361252.4167013285,6699278.7572178)')",[],0 days 00:00:00
6,1970-01-01 03:58:00.000,PassengersStatus.ASSIGNED,10,"(360907.3610987468,6698435.935810202)",[],"('(360907.3610987468,6698435.935810202)', '(361252.4167013285,6699278.7572178)')",[],0 days 00:00:00
6,1970-01-01 03:58:00.000,PassengersStatus.READY,10,"(360907.3610987468,6698435.935810202)",[],"('(360907.3610987468,6698435.935810202)', '(361252.4167013285,6699278.7572178)')",[],0 days 00:19:52.300000
6,1970-01-01 04:17:52.300,PassengersStatus.ONBOARD,10,None,[],"('(360907.3610987468,6698435.935810202)', '(361252.4167013285,6699278.7572178)')",[],0 days 00:21:06.200000
8,1970-01-01 04:20:08.000,PassengersStatus.RELEASE,None,"(361252.4167013285,6699278.7572178)",[],"('(361252.4167013285,6699278.7572178)', '(361430.0232549741,6698569.444267439)')",[],0 days 00:00:00
8,1970-01-01 04:20:08.000,PassengersStatus.ASSIGNED,1,"(361252.4167013285,6699278.7572178)",[],"('(361252.4167013285,6699278.7572178)', '(361430.0232549741,6698569.444267439)')",[],0 days 00:00:00
8,1970-01-01 04:20:08.000,PassengersStatus.READY,1,"(361252.4167013285,6699278.7572178)",[],"('(361252.4167013285,6699278.7572178)', '(361430.0232549741,6698569.444267439)')",[],0 days 00:00:00
8,1970-01-01 04:20:08.000,PassengersStatus.ONBOARD,1,None,[],"('(361252.4167013285,6699278.7572178)', '(361430.0232549741,6698569.444267439)')",[],0 days 00:18:49.700000
9,1970-01-01 04:33:17.000,PassengersStatus.RELEASE,None,"(361430.0232549741,6698569.444267439)",[],"('(361430.0232549741,6698569.444267439)', '(361252.4167013285,6699278.7572178)')",[],0 days 00:00:00
9,1970-01-01 04:33:17.000,PassengersStatus.ASSIGNED,11,"(361430.0232549741,6698569.444267439)",[],"('(361430.0232549741,6698569.444267439)', '(361252.4167013285,6699278.7572178)')",[],0 days 00:00:00
9,1970-01-01 04:33:17.000,PassengersStatus.READY,11,"(361430.0232549741,6698569.444267439)",[],"('(361430.0232549741,6698569.444267439)', '(361252.4167013285,6699278.7572178)')",[],0 days 00:18:49.700000
8,1970-01-01 04:38:57.700,PassengersStatus.COMPLETE,1,"(361430.0232549741,6698569.444267439)",[],"('(361252.4167013285,6699278.7572178)', '(361430.0232549741,6698569.444267439)')",[],
6,1970-01-01 04:38:58.500,PassengersStatus.COMPLETE,10,"(361252.4167013285,6699278.7572178)",[],"('(360907.3610987468,6698435.935810202)', '(361252.4167013285,6699278.7572178)')",[],
9,1970-01-01 04:52:06.700,PassengersStatus.ONBOARD,11,None,[],"('(361430.0232549741,6698569.444267439)', '(361252.4167013285,6699278.7572178)')",[],0 days 00:20:05.300000
13,1970-01-01 04:54:15.000,PassengersStatus.RELEASE,None,"(361252.4167013285,6699278.7572178)",[],"('(361252.4167013285,6699278.7572178)', '(360769.2168468278,6696421.43833362)')",[],0 days 00:00:00
13,1970-01-01 04:54:15.000,PassengersStatus.ASSIGNED,12,"(361252.4167013285,6699278.7572178)",[],"('(361252.4167013285,6699278.7572178)', '(360769.2168468278,6696421.43833362)')",[],0 days 00:00:00
13,1970-01-01 04:54:15.000,PassengersStatus.READY,12,"(361252.4167013285,6699278.7572178)",[],"('(361252.4167013285,6699278.7572178)', '(360769.2168468278,6696421.43833362)')",[],0 days 00:00:00
13,1970-01-01 04:54:15.000,PassengersStatus.ONBOARD,12,None,[],"('(361252.4167013285,6699278.7572178)', '(360769.2168468278,6696421.43833362)')",[],0 days 00:59:49.800000
9,1970-01-01 05:12:12.000,PassengersStatus.COMPLETE,11,"(361252.4167013285,6699278.7572178)",[],"('(361430.0232549741,6698569.444267439)', '(361252.4167013285,6699278.7572178)')",[],
13,1970-01-01 05:54:04.800,PassengersStatus.COMPLETE,12,"(360769.2168468278,6696421.43833362)",[],"('(361252.4167013285,6699278.7572178)', '(360769.2168468278,6696421.43833362)')",[],
15,1970-01-01 05:55:06.000,PassengersStatus.RELEASE,None,"(361252.4167013285,6699278.7572178)",[],"('(361252.4167013285,6699278.7572178)', '(360840.3006132993,6698733.628466031)')",[],0 days 00:00:00
15,1970-01-01 05:55:06.000,PassengersStatus.ASSIGNED,13,"(361252.4167013285,6699278.7572178)",[],"('(361252.4167013285,6699278.7572178)', '(360840.3006132993,6698733.628466031)')",[],0 days 00:00:00
15,1970-01-01 05:55:06.000,PassengersStatus.READY,13,"(361252.4167013285,6699278.7572178)",[],"('(361252.4167013285,6699278.7572178)', '(360840.3006132993,6698733.628466031)')",[],0 days 00:00:00
15,1970-01-01 05:55:06.000,PassengersStatus.ONBOARD,13,None,[],"('(361252.4167013285,6699278.7572178)', '(360840.3006132993,6698733.628466031)')",[],0 days 00:23:08
15,1970-01-01 06:18:14.000,PassengersStatus.COMPLETE,13,"(360840.3006132993,6698733.628466031)",[],"('(361252.4167013285,6699278.7572178)', '(360840.3006132993,6698733.628466031)')",[],
1,1970-01-01 06:32:20.000,PassengersStatus.RELEASE,None,"(361252.4167013285,6699278.7572178)",[],"('(361252.4167013285,6699278.7572178)', '(361109.2742714606,6698687.684381334)')",[],0 days 00:00:00
1,1970-01-01 06:32:20.000,PassengersStatus.ASSIGNED,14,"(361252.4167013285,6699278.7572178)",[],"('(361252.4167013285,6699278.7572178)', '(361109.2742714606,6698687.684381334)')",[],0 days 00:00:00
1,1970-01-01 06:32:20.000,PassengersStatus.READY,14,"(361252.4167013285,6699278.7572178)",[],"('(361252.4167013285,6699278.7572178)', '(361109.2742714606,6698687.684381334)')",[],0 days 00:00:00
1,1970-01-01 06:32:20.000,PassengersStatus.ONBOARD,14,None,[],"('(361252.4167013285,6699278.7572178)', '(361109.2742714606,6698687.684381334)')",[],0 days 00:14:21.800000
11,1970-01-01 06:42:17.000,PassengersStatus.RELEASE,None,"(361252.4167013285,6699278.7572178)",[],"('(361252.4167013285,6699278.7572178)', '(361109.2742714606,6698687.684381334)')",[],0 days 00:00:00
11,1970-01-01 06:42:17.000,PassengersStatus.ASSIGNED,15,"(361252.4167013285,6699278.7572178)",[],"('(361252.4167013285,6699278.7572178)', '(361109.2742714606,6698687.684381334)')",[],0 days 00:00:00
